1996,44000
1997,24000
1998,22000
1999,30000
2000,36000
2001,36000
2002,36000
2003,52000
2004,38000
2005,50000
2006,43000
2007,32000
2008,19000
2009,16000
2010,14000
2011,16000
2012,18000
2013,14000
2014,13000
2015,16000
2016,13000
2017,11375
2018,9669
2019,13190
